過去,30,天,
股票代號,股票名稱,走勢,股價
2330,台積電,,"1,450.0"
3036,文曄,,132.0
6104,創惟,#N/A,無資料
2308,台達電,,999.0
2301,光寶科,,165.5
2454,聯發科,,"1,330.0"
3034,聯詠,,405.5
2303,聯電,,45.8
6770,力積電,,29.5
3711,日月光投控,,196.0
2317,鴻海,,226.5
2382,廣達,,288.5
3231,緯創,,136.5
4938,和碩,,74.5
2356,英業達,,43.9
2324,仁寶,,33.3
2353,宏碁,,30.7
2357,華碩,,685.0
2383,台光電,,"1,105.0"
5274,信驊,#N/A,無資料
3529,力旺,#N/A,無資料
6669,緯穎,,"3,785.0"
3008,大立光,,"2,210.0"
3661,世芯-KY,,"3,085.0"
2059,川湖,,"3,760.0"
2345,智邦,,956.0
2379,瑞昱,,533.0
2395,研華,,325.0
3017,奇鋐,,"1,150.0"
2327,國巨*,,184.5
2887,台新新光金,,19.4
2891,中信金,,42.5
2883,凱基金,,15.8
2884,玉山金,,32.6
2890,永豐金,,26.1
2886,兆豐金,,41.6
2885,元大金,,34.0
2892,第一金,,29.1
5880,合庫金,,24.2
2882,國泰金,,65.2
2880,華南金,,29.8
2881,富邦金,,89.5
2002,中鋼,,19.1
1301,台塑,,38.9
1303,南亞,,42.0
6505,台塑化,,43.8
1216,統一,,78.2
2412,中華電,,133.0
4904,遠傳,,92.5
3045,台灣大,,111.5
5876,上海商銀,,41.0
5871,中租-KY,,106.0
2603,長榮,,186.5
2609,陽明,,54.1
2615,萬海,,80.2
2912,統一超,,241.0
2207,和泰車,,578.0
6446,藥華藥,,516.0
6919,康霈*,,162.0
